group,english,turkish,notes,notes_tr
Evaluation and serving,base rate,taban oran,the share of a corpus that belongs to a given class; for the largest class it is also the accuracy of always guessing it,bir derlemin belirli bir sınıfa ait olan payı; en büyük sınıf için aynı zamanda hep onu tahmin etmenin doğruluğu
Evaluation and serving,benchmark,kıyaslama ◆,*benchmark* dominant,*benchmark* baskın
Evaluation and serving,bias (in a model or corpus),yanlılık,"not *önyargı*, which is the psychological sense",psikolojik anlamdaki *önyargı* değil
Evaluation and serving,Brier score,Brier skoru ◆,mean squared error of a predicted probability; rewards a model for being right *and* honest about it,öngörülen bir olasılığın ortalama karesel hatası; bir modeli hem haklı olduğu hem de bu konuda dürüst olduğu için ödüllendiriyor
Evaluation and serving,calibration,kalibrasyon,"whether a score of 0.8 really means ""right about 80% of the time""; a separate property from accuracy","0,8'lik bir puanın gerçekten ""zamanın yaklaşık %80'inde haklı"" anlamına gelip gelmediği; doğruluktan ayrı bir özellik"
Evaluation and serving,cascade,cascade ◆,answer with a cheap model and escalate only when a validator rejects the answer,önce ucuz bir modelle cevaplamak ve yalnızca doğrulayıcı cevabı reddettiğinde daha güçlü bir modele aktarmak; *şelale* değil
Evaluation and serving,checksum,sağlama toplamı,"check digits that make a mistyped identifier detectable; which errors are caught depends on the scheme — the TCKN checksum in the guardrails chapter catches every single-digit error, and not every scheme does","yanlış yazılmış bir tanımlayıcıyı saptanabilir kılan kontrol basamakları; hangi hataları yakaladığı şemaya bağlı — korkuluklar bölümündeki TCKN sağlaması her tek hane hatasını yakalar, her şema yakalamaz"
Evaluation and serving,confusion matrix,karışıklık matrisi,"for a binary classifier, the four counts — TP, FP, FN, TN — that the usual metrics are computed from; with K classes it is a K×K table","ikili bir sınıflandırıcı için olağan metriklerin hesaplandığı dört sayım — TP, FP, FN, TN; K sınıfta K×K bir tablo"
Evaluation and serving,continuous batching,sürekli batch'leme ◆,"new requests join a running batch as slots free, instead of waiting for the whole batch to finish; the throughput lever in every modern server","yeni istekler, tüm batch'in bitmesini beklemek yerine yer açıldıkça çalışan bir batch'e katılıyor; her modern sunucudaki iş hacmi kolu"
Evaluation and serving,decision threshold,karar eşiği,"the cut that turns a score into a label; a free parameter you choose on held-out data, not a property of the model","bir puanı bir etikete çeviren kesim; modelin bir özelliği değil, ayrılmış veride seçtiğiniz serbest bir parametre"
Evaluation and serving,drift,kayma,"a metric moving while your code did not: the model behind the API changed, the inputs moved, or the surrounding system changed — three causes that look identical on a dashboard. *Input drift* is the second","kodunuz değişmediği hâlde bir metriğin kayması: API'nin arkasındaki model değişmiştir, girdiler kaymıştır ya da çevredeki sistem değişmiştir — panoda aynı görünen üç ayrı neden. *Girdi kayması* bunların ikincisi"
Evaluation and serving,escalation,escalation ◆,sending a request the cheap path could not handle to a stronger model or a person; its rate sets what a cascade costs,ucuz yolun çözemediği bir isteği daha güçlü bir modele ya da bir insana aktarmak; bir cascade'in maliyetini bu oran belirliyor. *Yükseltme* değil
Evaluation and serving,evaluation,değerlendirme,,
Evaluation and serving,expected calibration error (ECE),beklenen kalibrasyon hatası ◆,average gap between confidence and observed accuracy across bins; always say whether you binned on the top label,kutular genelinde güvenle gözlenen doğruluk arasındaki ortalama açıklık; en üst etikete göre mi kutuladığınızı her zaman söyleyin
Evaluation and serving,F1 score / macro-F1,F1 skoru / makro-F1 ◆,"harmonic mean of precision and recall; *macro* averages over classes, so a rare class counts as much as a common one","kesinlik ile duyarlılığın harmonik ortalaması; *macro* sınıflar üzerinde ortalıyor, dolayısıyla seyrek bir sınıf yaygın olanı kadar sayılıyor"
Evaluation and serving,FLOP,FLOP ◆,one floating-point operation; the unit training compute is counted in,bir kayan nokta işlemi; eğitim hesabının sayıldığı birim
Evaluation and serving,inference,çıkarım,,
Evaluation and serving,intrinsic / extrinsic evaluation,içsel / dışsal değerlendirme,benchmark vs. downstream task,ölçüte karşı aşağı akıştaki görev
Evaluation and serving,latency,gecikme,,
Evaluation and serving,Matthews correlation coefficient (MCC),Matthews korelasyon katsayısı ◆,"a balanced single number for a confusion matrix; gives every degenerate baseline (always predicting one class, say) exactly 0",bir karışıklık matrisi için dengeli tek bir sayı; her dejenere taban çizgisine (örneğin hep aynı sınıfı seçene) tam olarak 0 veriyor
Evaluation and serving,model FLOPs utilization (MFU),model FLOP kullanımı ◆,share of a chip's peak throughput a real run actually achieves,gerçek bir koşunun bir yongadaki tepe iş hacminden gerçekten ulaştığı pay
Evaluation and serving,precision,kesinlik ◆,"of the items the model flagged, the share it got right; *precision* dominant in running text, glossed once per chapter","modelin işaretlediği maddelerden doğru bildiklerinin payı; akan metinde *precision* baskın, bölüm başına bir kez açıklanıyor"
Evaluation and serving,prefill / decode,prefill / decode ◆,"the two halves of a request: the prompt is read in parallel, then output tokens are produced one at a time. Different costs, different bottlenecks","bir isteğin iki yarısı: prompt paralel okunuyor, sonra çıktı token'ları teker teker üretiliyor. Farklı maliyetler, farklı darboğazlar"
Evaluation and serving,prompt caching,prompt önbellekleme,"reusing the KV cache of a prompt prefix across requests, so a repeated system prompt is not recomputed",bir prompt önekinin KV önbelleğini istekler arasında yeniden kullanmak; böylece tekrarlanan bir sistem prompt'u yeniden hesaplanmıyor
Evaluation and serving,quantization,nicemleme,,
Evaluation and serving,recall,duyarlılık ◆,"of the items it should have flagged, the share it actually found; *recall* dominant in running text, glossed once per chapter","işaretlemesi gereken maddelerden gerçekten bulduklarının payı; akan metinde *recall* baskın, bölüm başına bir kez açıklanıyor"
Evaluation and serving,ROC curve / AUC,ROC eğrisi / AUC ◆,recall against false-positive rate; on an imbalanced corpus it looks flattering because the denominator is the large class,"yanlış pozitif oranına karşı duyarlılık; dengesiz bir derlemde kayırıcı görünüyor, çünkü payda büyük sınıf"
Evaluation and serving,service level objective (SLO),hizmet düzeyi hedefi,"the latency or availability target a system is held to, stated as a percentile rather than a mean",bir sistemin tutulduğu gecikme ya da erişilebilirlik hedefi; ortalama olarak değil yüzdelik olarak ifade edilir
Evaluation and serving,span,span ◆,"one timed unit of work in a trace; *aralık* would be *interval*, a different thing","bir izdeki zamanlanmış tek bir iş birimi; *aralık* *interval* demek olurdu, başka bir şey"
Evaluation and serving,speculative decoding,spekülatif kod çözme ◆,"a small draft model proposes several tokens and the large model verifies them in one pass; same output distribution, fewer serial steps","küçük bir taslak model birkaç token öneriyor ve büyük model onları tek geçişte doğruluyor; aynı çıktı dağılımı, daha az seri adım"
Evaluation and serving,throughput,işlem hacmi / verimlilik,,
Evaluation and serving,time to first token (TTFT),ilk token'a kadar geçen süre (TTFT) ◆,"how long the reader waits before anything appears — queueing, prefill and the first decode step; prefill often dominates on long prompts, and it is the number streaming is meant to improve","okuyucunun bir şey belirmeden önce ne kadar beklediği — kuyruk, prefill ve ilk decode adımı; uzun prompt'larda çoğu zaman prefill baskındır ve akışın iyileştirmesi beklenen sayı budur"
Evaluation and serving,tracing,izleme,recording each step of a request as a linked tree of spans,bir isteğin her adımını bağlı bir span ağacı olarak kaydetmek
Language modelling,backoff,geri çekilme,"when a long context has no counts, fall back to a shorter one",uzun bir bağlamda sayım yoksa daha kısa birine geri düşmek
Language modelling,chain rule (of probability),zincir kuralı,"rewrites the probability of a sentence as a product of next-word probabilities; exact, not an approximation","bir cümlenin olasılığını sonraki kelime olasılıklarının çarpımı olarak yeniden yazıyor; bir yaklaşıklama değil, kesin"
Language modelling,held-out data,ayrılmış veri,text the model never trained on; the only honest place to measure,modelin üzerinde hiç eğitilmediği metin; ölçüm yapmanın tek dürüst yeri
Language modelling,interpolation,interpolasyon,mix estimates from several context lengths using fitted weights,"birkaç bağlam uzunluğundan gelen kestirimleri, veriden ayarlanmış ağırlıklarla karıştırmak"
Language modelling,Markov assumption,Markov varsayımı,"only the last n−1 words matter; false, but it makes counting possible","yalnızca son n−1 kelime önemli; yanlış, ama saymayı mümkün kılıyor"
Language modelling,maximum likelihood estimation (MLE),en çok olabilirlik kestirimi,"the parameter values that make the observed data most probable; for a categorical distribution that works out to the raw count ratio, which gives probability zero to anything unseen",gözlenen veriyi en olası kılan parametre değerleri; kategorik bir dağılım için bu ham sayım oranına çıkıyor ve görülmemiş her şeye sıfır olasılık veriyor
Language modelling,perplexity,perplexity ◆,how many words the model is effectively choosing between at each step,modelin her adımda etkin olarak kaç kelime arasından seçtiği
Language modelling,smoothing,düzleştirme,move probability mass onto unseen events so nothing is impossible,hiçbir şey imkânsız olmasın diye olasılık kütlesini görülmemiş olaylara taşımak
Machine translation,back-translation,geri çeviri,translate monolingual target text back into the source to manufacture training pairs; the resource that exists when parallel data does not,eğitim çiftleri imal etmek için tek dilli hedef metni kaynağa geri çevirmek; paralel veri olmadığında var olan kaynak
Machine translation,beam search,ışın araması,"keep the k best partial outputs at each step; standard in translation, and actively harmful in open-ended generation","her adımda en iyi k kısmi çıktıyı tutmak; çeviride standart, uçu açık üretimde etkin biçimde zararlı"
Machine translation,BLEU,BLEU ◆,"word n-gram precision against a reference, with a brevity penalty; harsher on morphologically rich languages for a measurable reason","bir referansa karşı kelime n-gram kesinliği, kısalık cezasıyla; ölçülebilir bir nedenle biçimbilim açısından zengin dillere daha sert"
Machine translation,chrF,chrF ◆,"the same idea at the character level, which gives partial credit for a word whose stem is right and whose suffix is wrong","aynı fikrin karakter düzeyindeki hâli; gövdesi doğru, eki yanlış bir kelimeye kısmi puan veriyor"
Machine translation,COMET,COMET ◆,"a learned metric: a model trained to predict human judgements, so it inherits whatever the training data contained","öğrenilmiş bir metrik: insan hükümlerini öngörmek üzere eğitilmiş bir model, dolayısıyla eğitim verisinde ne varsa onu devralıyor"
Machine translation,translate-test,çeviri ile test,"translate incoming text into the model's language at inference; cheap to build, and every translation error is now a model error",çıkarım zamanında gelen metni modelin diline çevirmek; kurması ucuz ve artık her çeviri hatası bir model hatası
Machine translation,translate-train,çeviri ile eğitim,translate training data into the target language and train there; pays the translation cost once instead of per request,eğitim verisini hedef dile çevirip orada eğitmek; çeviri maliyetini istek başına değil bir kez ödüyor
"Modelling, training, and statistics",ablation,ablasyon ◆,remove one component to measure what it was contributing,neye katkı verdiğini ölçmek için bir bileşeni çıkarmak
"Modelling, training, and statistics",adapter,adaptör,a small trainable module added to a frozen model; LoRA is the form that won,"donmuş bir modele eklenen küçük, eğitilebilir bir modül; kazanan biçim LoRA"
"Modelling, training, and statistics",alignment,hizalama,"making a model behave the way people asked for, rather than the way its training text happened to","bir modeli, eğitim metninin denk getirdiği gibi değil, insanların istediği gibi davranmaya getirmek"
"Modelling, training, and statistics",annealing,tavlama,"decaying the learning rate to zero at the end of a run, usually on better data","bir koşunun sonunda öğrenme oranını sıfıra doğru düşürmek, genellikle daha iyi veri üzerinde"
"Modelling, training, and statistics",baseline,taban model,the simple model a complex one has to beat to be worth its cost,"karmaşık bir modelin, maliyetine değmesi için yenmesi gereken basit model"
"Modelling, training, and statistics",catastrophic forgetting,yıkıcı unutma,"*felaket unutması* also seen; training on a new task degrades tasks the model already handled, because the same weights held both","*felaket unutması* da görülür; yeni bir görevde eğitim, modelin zaten becerdiği görevleri bozuyor, çünkü ikisini de aynı ağırlıklar tutuyordu"
"Modelling, training, and statistics",continued pretraining,sürdürülen ön eğitim,"more of the pretraining objective on new text; adds knowledge and vocabulary, not the ability to follow an instruction","yeni metin üzerinde daha fazla ön eğitim amacı; bilgi ve söz varlığı ekliyor, bir yönergeyi izleme yeteneğini değil"
"Modelling, training, and statistics",cross-validation,çapraz doğrulama,"rotate which slice is held out, then average the scores","hangi dilimin ayrıldığını döndürün, sonra puanları ortalayın"
"Modelling, training, and statistics",curse of dimensionality,boyut laneti,,
"Modelling, training, and statistics",design matrix,tasarım matrisi,the document-term matrix is one,belge-terim matrisi bunlardan biri
"Modelling, training, and statistics",direct preference optimization (DPO),doğrudan tercih optimizasyonu ◆,"*DPO* dominant; trains on preference pairs directly, with no reward model and no reinforcement-learning loop","*DPO* baskın; doğrudan tercih çiftleri üzerinde eğitiyor, ödül modeli ve pekiştirmeli öğrenme döngüsü olmadan"
"Modelling, training, and statistics",epoch,devir ◆,one full pass over the training data; *epok* also seen,eğitim verisi üzerinde tam bir geçiş; *epok* da görülür
"Modelling, training, and statistics",feature,öznitelik,"*değişken* is *variable*, a different thing; *feature engineering* → öznitelik mühendisliği",*değişken* başka bir şeydir (*variable*); *feature engineering* → öznitelik mühendisliği
"Modelling, training, and statistics",fine-tuning,ince ayar,,
"Modelling, training, and statistics",gradient descent,gradyan inişi,,
"Modelling, training, and statistics",HDBSCAN,HDBSCAN ◆,finds clusters as regions denser than their surroundings and labels the rest noise; needs no k,kümeleri çevrelerinden yoğun bölgeler olarak buluyor ve geri kalanı gürültü diye etiketliyor; k gerektirmiyor
"Modelling, training, and statistics",hyperparameter,hiperparametre,"a setting you choose rather than learn; tune on dev, never on test","öğrenilen değil seçilen bir ayar; geliştirme kümesinde ayarlayın, asla testte değil"
"Modelling, training, and statistics",isotonic regression,izotonik regresyon,a non-parametric monotone calibration map fitted by the pool-adjacent-violators algorithm (PAVA); needs roughly a thousand held-out points,"pool-adjacent-violators algoritmasıyla (PAVA) kestirilen, parametrik olmayan monoton bir kalibrasyon eşlemesi; kabaca bin ayrılmış nokta gerektiriyor"
"Modelling, training, and statistics",k-means,k-ortalamalar,"partitions points into k groups around their centres; assumes spherical, similarly sized clusters and assigns every point",noktaları merkezleri çevresinde k gruba bölüyor; küresel ve benzer boyutlu kümeler varsayıyor ve her noktayı atıyor
"Modelling, training, and statistics",knowledge distillation,bilgi damıtma,"training a small model on a large one's outputs; it can inherit fluency, but not correctness the large model never had","küçük bir modeli büyük bir modelin çıktıları üzerinde eğitmek; akıcılığı devralabiliyor, büyük modelin hiç sahip olmadığı doğruluğu değil"
"Modelling, training, and statistics",LoRA (low-rank adaptation),düşük ranklı uyarlama ◆,*LoRA* dominant; freezes the pretrained weights and trains a small pair of matrices beside them,*LoRA* baskın; ön eğitimli ağırlıkları donduruyor ve yanlarında küçük bir matris çifti eğitiyor
"Modelling, training, and statistics",loss function,kayıp fonksiyonu,,
"Modelling, training, and statistics",overfitting,aşırı öğrenme / aşırı uyum,,
"Modelling, training, and statistics",oversampling / undersampling,aşırı örnekleme / eksik örnekleme,"duplicating minority rows, or discarding majority rows, to force a training set into balance",bir eğitim kümesini dengeye zorlamak için azınlık satırlarını çoğaltmak ya da çoğunluk satırlarını atmak
"Modelling, training, and statistics",parameter-efficient fine-tuning (PEFT),parametre-verimli ince ayar,"the family LoRA belongs to: train a small fraction of the weights, leave the rest frozen","LoRA'nın ait olduğu aile: ağırlıkların küçük bir kesrini eğitin, gerisini donmuş bırakın"
"Modelling, training, and statistics",Platt scaling,Platt ölçeklemesi ◆,fits a two-parameter sigmoid to a model's raw scores on held-out data; the small-sample calibration default,"ayrılmış veride, modelin ham puanları üzerinde iki parametreli bir sigmoid eğitiyor; küçük örneklemde varsayılan kalibrasyon"
"Modelling, training, and statistics",preference pair,tercih çifti,"one prompt, two answers, and a judgement of which is better; easier to collect than a correct answer","bir prompt, iki cevap ve hangisinin daha iyi olduğuna dair bir hüküm; doğru bir cevap toplamaktan kolay"
"Modelling, training, and statistics",pretraining,ön eğitim,,
"Modelling, training, and statistics",regularization,düzenlileştirme,,
"Modelling, training, and statistics",reinforcement learning from human feedback (RLHF),insan geri bildiriminden pekiştirmeli öğrenme ◆,*RLHF* dominant; fits a reward model to human comparisons and then optimizes against it,*RLHF* baskın; insan karşılaştırmalarından bir ödül modeli eğitiyor ve sonra ona karşı eniyiliyor
"Modelling, training, and statistics",reward model,ödül modeli,"a model trained to score answers, standing in for the people whose judgements it was fit to",cevapları puanlamak üzere eğitilmiş bir model; hükümleriyle eğitildiği insanların yerine geçiyor
"Modelling, training, and statistics",silhouette,siluet ◆,"how much closer a point is to its own cluster than to the next-nearest, on a scale from -1 to 1","bir noktanın kendi kümesine, en yakın ikinci kümeye olduğundan ne kadar daha yakın olduğu; -1 ile 1 arasında"
"Modelling, training, and statistics",supervised fine-tuning (SFT),denetimli ince ayar,"one prompt, one target answer, ordinary next-token loss; the stage that turns a base model into one that answers","bir prompt, bir hedef cevap, sıradan sonraki token kaybı; bir temel modeli cevap veren bir modele çeviren aşama"
"Modelling, training, and statistics",temperature scaling,sıcaklık ölçeklemesi,"divides the logits by one fitted constant T; T > 1 softens the distribution and T < 1 sharpens it, and neither ever changes the ranking","logitleri veriden ayarlanmış tek bir T sabitine bölüyor; T > 1 dağılımı yumuşatıyor, T < 1 keskinleştiriyor ve ikisi de sıralamayı hiç değiştirmiyor"
"Modelling, training, and statistics",verifiable reward,doğrulanabilir ödül,a training signal computed by checking the answer automatically rather than asking a human; only available where correctness is cheap to check,bir insana sormak yerine cevabı otomatik kontrol ederek hesaplanan bir eğitim sinyali; yalnızca doğruluğun ucuza kontrol edilebildiği yerde mevcut
"Modelling, training, and statistics",verifier,doğrulayıcı,"a model trained to score candidate solutions rather than produce them; outcome-supervised ones judge the final answer, process-supervised ones judge each step","aday çözümleri üretmek yerine puanlamak üzere eğitilmiş bir model; sonuç denetimli olanlar son cevabı, süreç denetimli olanlar her adımı yargılıyor"
Models and architecture,attention,dikkat (mekanizması),,
Models and architecture,base model,temel model,"what pretraining produces: continues text, does not yet answer","ön eğitimin ürettiği şey: metni sürdürür, henüz cevaplamaz"
Models and architecture,causal mask,nedensel maske,"blocks every position from attending to later ones, so the model can be trained to generate left to right",her konumun sonraki konumlara dikkat etmesini engeller; böylece model soldan sağa üretmek üzere eğitilebilir
Models and architecture,context window,bağlam penceresi,,
Models and architecture,feed-forward network (FFN),ileri beslemeli ağ,"the per-token sublayer of a transformer block; about two thirds of a block's parameters at the usual d_ff = 4d, less in other designs","bir transformer bloğunun token başına alt katmanı; alışıldık d_ff = 4d'de bloğun parametrelerinin kabaca üçte ikisi, başka tasarımlarda daha azı"
Models and architecture,KV cache,KV önbelleği ◆,"stored keys and values from earlier tokens, so generation does not recompute them",önceki token'lardan saklanan anahtarlar ve değerler; böylece üretim onları yeniden hesaplamaz
Models and architecture,language model,dil modeli,,
Models and architecture,large language model (LLM),büyük dil modeli (BDM),◆ *LLM* dominant,◆ *LLM* baskın
